"Strings","AES_encrypted"
"Be different","b""\xb5\x11\x0b\xd01\xe2|\xeb\x10\xea-\x16\r\tV\xfbw\xb1\xd3\x88\xd66'Vz\xbf\x0c5J-\xa2\x1d"""
"Stay grateful","b'\x7f\xd0\x0e\xca\x9f\xda\xe9\x96\xa8\xbf}\x1d\xdd\xc1J\xe4@\xf5\xd3A\x84\xb8/\xf6\x90 \xd4\x14`\xb0\xf4H'"
"Stay disciplined","b'\xb2s\xf1\xc5|6e\xd2\xf7^a9\x0e\xd9\x84\x90\x94\xba\x1c\x08SF\xf3jz\x85\xe5=\x88\xc2$8\xfek\xcd0u\x8f\xc5\x11d\x82th\xfcQ\xc30'"
"Think smart","b'!\xd2""i\x94V\x93\xc9\xf1ijk\x94\x9d\xb4\xf3$\xba\xe6\xf0(\xc7\xa7J\x92H\xab\x0bf\xb6+d'"
"Be confident","b'q\xa8\xa2\xdc""\xdc[\xa1\xf3\x0e\xf0\xe7z\x80)\xb2%\xddq\x1e\xa5\xf7\x9d\x83\x9bV,\xba\xc5\xf52_'"
"Stay happy","b'\x83\x9a\xd3+\xc7\x93\x024\x84k\xc9\xe0\x04G\t\xbcR\x87\xb1%*\x88\x1d\xa6.(\x88\x9b\xe4KV\xa4'"
"Stay inspired","b""\xbd\x87\xff~\xb2\xaf\xb6\xab\xbfm\x96\xd7L\xff\x15'\xb8A\n\xd5\x01Q\xb0\x1f_\xef\x88\x1f.Q\x83^"""
"Be unstoppable","b'\xc9H\xed~\x95 \xc4\xec\x88\xe6-\xeeJQ&\x14*{dt\xd1dw\t\xd2\x04\xf9f\x1al\xbeX'"
"Hustle hard","b'\xcc\x88\xe5F\xe9hq[L\xb6\x9a\x1c-\x14Jb_\xa0\x015\xeb7\x05\x88\xa1z\xb6\x07eW\x17\xd7'"
"Stay strong","b'RBuD(H\x89\xb61\x94\xae\x14]\xa9=h\xecXC9I\xb8\xccj\xe9-|\xf7m\x11j!'"
"Never settle","b'\x1b7\xb21\x11]\xa2\xfd\x92/jEd\x98\xf6A\xa1u\x93\xd5\xa6\xc7\x13\xea\x16\xd7[\xc3\xbc\xb6\xc9\xb0'"
"Choose wisely","b'o~\x08\xbd\xa8:?i\xe8\x9eR\xba\xad\x19\x9b\x99\xaf\xb4y\x87\x7f\x94\x0b}\xd2<\x96\x16\x15D;U'"
"Stay active.","b'\xa1a\xa3\xa2\xbcc\x9e9F\xa4v\x9e\x9e\xeeNS\x0eo\x96\xe9\xffj\x01\x1d\xbf\xf0\x07K(h\xae\xa2'"
"Act now.","b'\x1a\x84\n\x96\xaeC\x8c\xa1\xf9\xc0n\xdb\xcb\xc8\xe5\xc0\x81\xd8HD\xa0\xdf\xf8g\xc9F\xaf\xad|^_\x1a'"
"Keep pushing.","b""S\xec\xc7\x07\x05\xe47\x97\x05]\xfaq\xfc\xeb\x8f\xbcU\x0bck\x1a\x1b\x06\xfa\xcb\xda>\xe6\xa1'\xe2\x92"""
"Stay positive.","b'r-""""\xdc\x83O\x07\x97\x9e\xbb\xa6\x81P\x043\xa7~!\x99\xe4\xecS\xfeC\x0ec\x8d\xb0\x00\xb9\x83'"
"Create opportunities.","b'2g-\xf5\xb7\xd7\xf9\x0fL\xb0%\xb3\x96\x11;\xf4\\\xbb%\x1e\xe5\xf8\xbd\xd1\xcc\xc9\xe5\xa2\xe5L\xb6\xa1\xba{Ue5n\xb2\x94*)\xa3\xfe\xa8\xdf\x1c\xaf'"
"Keep moving.","b'\x04\x99\x16[\x9c\xc8\xf8\xbc\x04\x8b\xdb\x19jJ*i\rQ\x8a|\xc2\x14\xfd\xfd\x1ak\xe5\x0f\x88\x86)\xf0'"
"Work smarter.","b'\xeb\xb8\x0e\x1d\xd0\xf1\xdc\x01\xec\xc3\x1cI\x87\xe3L\xe1i\t!S\xcd\x12\xb2\xe3\x10\xff>\xee\xca\x14\xd5""'"
"Stay consistent.","b'\x8bCo\xf2\xc6|L\xc5\xc5\xf2j\xfb\x7f\x99\xf9\xfeYy\x8f\xf0Pq\x10>\\\x86\xa1(\x14\xa9\x9eV\x81\xfaAr4\xa4\xa7\xcdj\x11|V$\x81_\xa0'"
"Never stop.","b'\xec\x9a\xf7\x8f\x99\xd6$\x10F\x84D\xf0\xef\tI\xb4\xec\xfb\x98;\xfc""\xca\x98\x8a&{t\x16\xf1zN'"
"Be unique.","b'\xbf\x11T\x1c\xd9\x1e\xf6\xc0\xab\x8e\x8a\xfe\x8b\xb3P\xec\x0e\xa9\xf1\xd2-:\xdd=""\xads\xf4\xb2\xe2\x96\x07'"
"Keep improving","b'9\x0c\x82[\x9b\xf3{\xf6\xcc<\x13Q\xcc\x07\xda)o\xc6\x13\xa3\x1c\x81P\\\xad/{W\x1e\x01NN'"
"Stay resilient.","b'\x96kh~\xb3\x0e\x87\xf1\xd5\xa7\xa4\t\xce\x97\xc4iOv\xa6\xae\xe53\xc0\r\xff\x85\xb6\x02A\x1a\xa6\xab'"
"Keep believing","b'\xaf""\x18\x8e2E\x19Xx\x1e\xdc\x8b\xc3\xbb\x06\x84\xc3\xd6n\x0b\xc5Qj7\x1b!\xd4w\xac\x03\x1f\xdb'"
"Stay fearless","b' Hj\xcb\xbf`{z\x9f\xe1#{O\xdf\x17S\xf7\x0f\x94\xf4\x84pr\xc78\xb5\xe1K\x80\xea\x050'"
"Make progress","b'X`8\xe6c J\x86\x1d\xcb\x06T""\xaf\xcb\xed\x14<\xad\xbf7s{V\xee\xb7\xb4\xaf\xb9\t\xad\x81'"
"Keep winning.","b'\xf9\x1eYT\xac\xce\xf2\xb6\x02Ux\x8d\xf7\xa85\xee\xafu\xb3\xa7\x81\xc0\xd9r\xd1w2Rk\xfd\xb9\xa8'"
"Stay true","b'!H\x157\xe9\x19)\r?\xe5\xdb\xf9\xd8\x1b;\x94\xa4mt#C\x00\xee\x9a\xc5g\xe2uYC8\xee'"
"Never doubt.","b'\xe0U14\x95x\x03q\xe7\x96\xe7\xd5p\xdc\xce\xc3B\xb0Y\n\x9a\xb6\x16\x9f\x8c<q\x83\xbb\xc4\x95<'"
"Keep shining","b'\xf3;\xb5=\x91<\xdd:\x0cc\xc3\x87|7\xe7\x1a\x82\\+O\xc7FBg\x14F\xf1\x94e\xce=u'"
"Live free","b'\xb1\xbe\xfco\xe2C\x7f6\x115\xa2*\xcd9\x0b4\xa9\xa0I\xc9\x84\xd9\xc9I\xdf\xab\xd0\xf2ZA\x9e\x86'"
"Love unconditionally","b't\x85\x01\x0cz\x8dAj-\x9aR\x8a\xd9J\x96\xaa\xad\xd5I\xf3\xfd\xfb\x8a\xb3\xa9\xbfp\xc48\xf0\xf7\x1c\x94\x88\xd6\x9c\xc1\xa38\xfbj\xb3\x04\x0f\x92""\x98\xc5'"
"Stay unstoppable.","b'I\xca""\x1d|\xb3\xc4\xbeH\xe09885{\x198\xe0\xa9}#c\xf3\xc4\xf6\x08sy\x8eQ\xbb\xcd\xb9O#$\xe0xY\x08\xb0q0e\xd0+\xff\xc3'"
"Rise again.","b""v[\xc8\xe2\x90\xd28\\h\xb0\xdfw\xc0\x07\xb07&'\xcdJnj\xad\xa0!D\x95J\\~\xa4\xb2"""
"Enjoy moments.","b'\xe6\xb7;\x04_\x90\xb1\xdb\xee\xe9\xa2q\xd7\xf3\xb1\xd8)Sv\x97|< \x1a]\x1d\t~r\xc9q\xb5'"
"Embrace change.","b'\x1bS\x06{Z;3\x13\xba\xe0_\xdd\x1cc\xb0\x8c\xe8p\x1c\x83WB7\xf5\x080H\xa9 \xfa\x05)'"
"Stay powerful.","b'\xe0j)ai\xe1^\xb7\xef\x05x\xea\x83l.\x9f\x9c\x91\xbe\x150o\xb45\xc7_3\xd0M`k\xf1'"
"Keep trying","b'z\xfb\xbf\x9e\x00\x06\x9fY\xc1\x07+9X\xffO\xfe\xa4Z\x93\x19\xb1=Z\xeb\xfc\xddcvn\xbb~\xe5'"
"Stay real.","b""\xd2\xa4\xa7\x86s\xf0\xdeh'\x1e\xe8\x7f7[\xebt\x19C;\xef,\x84\xc7\xed\x0b\xcb\xc98\xfc\xde\xb0\xbf"""
"Trust fully","b'\x1b\x10$\x14\xe6Ds\x7f\x10j\t9\xfa\xdbt\xd7\xadL\\#7\xd4\x1c`/\xb4\x8b\x9b+\x8f\xb9/'"
"Keep striving.","b'\xc0\x16\xb9\x15X9\x0fD\xf8`\xf8\xa8z\x12\xdf\xden\xda\xa5\x1eRo\xb4D\x11\x04\xcd\x16l\xd4#\xc7'"
"Never hesitate","b'\xf3`\x01\xabR\xc0\xfb\x8f]^\xc6\x8b\xce\xa4\x03J_q}\x11\x17H\xb1\x80#B*7h\\7\xbe'"
"Stay adventurous","b'$T\x9c\x89\xf7\xe5\x19p3c\x132\x82\xb8[\xc9\t\xb6\x02\x8b\xa1\x9bv\xbf\x93\xdaO\x8d\xbd\xa59\x03U)G\xb7\xa5\xd1<:ge\xcc\x02\xc8c\x07\x7f'"
"Keep pushing","b'\x14\x9al\xbd\xebq\xe9\xe5\xae\\b%\xdb\x0f8\xe2\xd2u\xf0\xad\x89)\xc9\x17\xf6\x0c}\xc8\xc6\xabr,'"
"Never fear","b'\xcew\xcc?\x13\x12y \xf6q\x82Y\x1b\x97\xa7t\xf2HhMS\xb6Iz\xce\xe3\xa3\xf3;\xf6\xb50'"
"Trust life","b'\xc6\x97ip\xa1\x14\xf6\xec3f\xd4\xa0\xea\x8e*R\x19!Os\xcb\xfd\x12\xf6]i\xdav\xad<DO'"
"Love yourself","b'\xfcocV\xfa\xc4\xf5=5\xf2\xe9\xea\xb0\x1d\x9f\xd5\x08\xed\xa1w[\x7f\n6p\xe2\xa7)N=s\xc9'"
"Stay hopeful","b'\xd4\xe8\xf0\xe7\x86\xda\x07,U\xc0\xfc\x85Ba\x14\xf7C+?\xc9!\xe1T-+\xe1=^\xbe\x8137'"
"Work hard","b'\xad\xa8\xd0\xd4\xad\xafZu\xa0\\\x1d\xa4q\xf1\xf3i}\xb5D\xb8\xa5O\xc5\x18=\xc9\x14T59\xe7g'"
"Dream big","b'\x06\xda\x1c\xb6\xfd\x9a\x97@e\x07V\xdc%\xe8g""\xfe\xce\xc1)b\x8d\xd5\xb0x\xef$u\x89\x08\xa7\x03'"
"Keep smiling","b'Q\x07\xd3\xdcw\t\xfc\xabO\xc5\xdd\xa6\xd0\xe7\x1aN\x91\x91\xa3?\xfd\x08\xfd\x9dj\x9c\xd3F\xeb\xe95V'"
"Stay patient","b'\x12Bi\x187\xb3?\xa0\xac\x86\xc0U:]\x85\xb3\x84\x10\xa4\xae\xc3-\n\x1e/\xbc~L\x8d-kC'"
"Move forward","b'RZ\x8b\x90[H:\xdf\xfcM\x0f\xf3\xece\xa8\xfa\x84\xa1\x18\xfa\xa3\xda\x04\xcex>\x9f\xfb\xb4A\xe9\x19'"
"Believe more","b'\x95!^\x9a\\\x84\xb0\xe4\\e\x82\xdb\xc6\xa7e;\xb2\xfe\xc7~\xed\x05\xe8\xe3\x88\xb7\xc3\xa47 z\x12'"
"Stay positive","b""\x95\xa2\x99\xbd\xbc\xba\xb7YPm\xe8\xee4\xe72\xa3\xc9\x94\xc8yeP'\xa2\x18\x91\xccf\x1a@\xa0\x9d"""
"Think wisely","b'\x8c\x18\x17(Y \x15\x16p\xf2H\x12e\xaef\xb4/\\OO\xa4\x8d4x\xb5\xd6\x1a\x93\xae\xe8\xc6\x1c'"
"Hustle daily","b'b\xca=\x87o\x1bN\x03\xc2*\xdf""k\xc9\x12\xda\x06E\x19\xf3\xac\xcdieM\x9cG\x06\xeb\x9fq\xb4'"
"Choose happiness","b'\x0f1\xda\\\xb6T\x1c\x0c\tu\xd9\xa3\x1d\xcb\xd0\xaboHZ\xd9\xa9\x94L\xdeW\xfa\x04Y\xb7)\xd1\x121Ka\x81.{\x91\tOg\xa0P:\x8czg'"
"Hi, nice to meet you.","b'\x1b\x82\xfb\x93\x1c\r`\xab\xe0\xf5SQ\x1d\x88\x0cWo4\x93\xe4[m,$b\xb7!$\xe1E\xc5\x15\xe1\xb2\xbf\xdd\xe3\xeb\xbb\xb0.\x90\x93K\xea\xe1o\x9c'"
"Do you have any children?","b'm\x93\x95\xbb4O\x19\x90^\xe6\n\xf6\xec\x18\x15\xe6\xfb`\xad\xc9\xae\xa3\xe9$\x15\xf3\x11\xc8\x89\xdb\xb2\x0e\xfa\x82\xbd\x06%\x8f \x89\xe0\xd7\x04\x04\x81\xcc\x12\xc8'"
"Yes, I have two kids.","b'ZI]\x1do\x9f\xab\xf3\xdfS\xd0\xa9$V\x04\xfe\xa2\xc2\xe5~\xcb4\x86\xd1\xd5B\xc5F\xd7\x8c\x07{\x9aE\xd8\xa3\xa5w|\xac\xf5qq\x1e!\xbf\xe1\xcf'"
"My day was great, thank you.","b'D\x7ft\x0cK\xbb\xfc\x80\xf4\x91\x97\x98QX\x88z nt\x84K\x8e\xe9;\x90R\xf2h\x7fY\xb3\xd1}\xd2-\xd3\x89\xdd3\x95\xffd\n\xfc\xbd\xee\x9a\xb0'"
"I wake up at 7 am.","b'&\xf9\x8d\xf1:\x82\xaesA\xa3ol\x8e\x106\x0f\xd1\xea\x88E\xaeuOt4\xa4!\xf4{\x1af\x15\xf6{\xb9\x88\xbd\xb3\xcc~\x01\x7f\xa91Ju\xad\xc6'"
"I drive to the office.","b""\x9er\xadH\xfcU\xb0U\xbeYBt\xdf\xee\xaf2\x99\xe1\xfb\xe8#\xbe\xdb\xb9\x99r'Q\xf9<\xa5\xba\x08\xd9_\xcfy\xb5n\xd3\x0c\xcf\x9eW\xa1\xac\xf2}"""
"I start work at 9 am.","b'\x82\xe8\xab\xfe\xc9\xb5\xa9um\xb7\x1ai\x19\x9e\x8a#/\x0c4\xd2\x16\x8e;\xac\x83g\xc48\xa3\xe6\xb2\xbdX@T\xc1\x10\x13\xdc\xf1[##\x1bY\x97\x8c\xd0'"
"I have a meeting at 10 am.","b'.%\xbf\xabg\xd3\xff\xaaQ\xaa\x11\xb7\x04\x11\xce\x9b|[|^\x80$6x\xefeDj\x0f\xa9\x0b\xdd\x068\xa3\x9e\xa4P\xe8\x8c\xd8\xdb\xb1\xee\xbf\xd9\xa2r'"
"I take a lunch break.","b'\x0fw,\x89i\xc8\xf1\xbe\xa4\xa93}*J\xc8\xe4\x8e]\x85\x9a\x0f\xf2\x83G\xc6\xe7$\x84\xb1\x9fezR\x01\xdeP\x14\x15\xb8\xd4\xc0\x946\x1ao\xc4\x08s'"
"I eat lunch at 1 pm.","b'\xcb\x9f\xb2An\xb5\xf9\x83#K|\xc1\xbcc\xa8i\xd8U\x1b\x88\xb4CD\xb0\x06,4Y\x94\xbfv\x98$\x17\xcc|%E\xf4,[\xb3\x0ee\x1dBU\x05'"
"I finish work at 5 pm.","b'0$\xc5H)\xc0\xf9\xde\x19\xa0=_\x05\xc0\xe6X\x04sxP(m\xba\x8e\x0f5\x9aH\r\x99iB\xb0\xc2\x0c\x82\xcfb\xd8\x8e#\xfe\x08\xa9?J\xf9\xe1'"
"I go to the gym.","b'}\x15\xec\xbb\x00MH:\x8e`\x05\xc1""!\x12*\r\xf2h\\\xf4\x83\xc2\xce\x153&\xfa\'(\x98\x93JX\x1b\xdd\\\xc6!\xde\xad\x91\xd3\x9fKD\xd8\xf6'"
"I exercise for an hour.","b'?\xdc/z\xe8D\xc6o\xe8\x1a\xfa\xfe\x97@\x1b\x86l\x1cn\x9d\xcd>\xc8\xe8z\xb6\xf8.\xa4\x18a\xf3I\xb7\xaa\x04\xb9E\xdb\xec\x06\xc5v\x93\x8a3\xd9\x9a'"
"I go to bed at 10 pm.","b'\x18\x900 g\xfd\xaba\xc8@\xa2\x19\x8a\xcc\x97\x9d\xbe\xef\x90U\\\xc3\xb4\x96\xf5tR\xee\xf5\x08\x90\xf8\xb9\xc8\xc6\x11\x83|\x8d4Kx=\x1a\x88\xdb\xab>'"
"Where is the nearest grocery store?","b'\xb973\xeb\xd5[6#3\xa9-\x11\x8a~\xdec6k7\x04y\xb7\x8d}\xde\xec\xe4C\xd8\xec\xd1K\xd1\xa7u\xe6_\x1e\x08fS\x88\xcfQ\xd9o~\x86\x88&\xc7\xdd\xee\xfcn\xb1$\xbe\x91\xb9\xad\xfa\x05\xe0'"
"I need to buy some milk.","b'\xb8\x9c\x9f)[\xbfF\xb6q\xb3\xd4C;\xb6\xd1\xba\x19b\x16d\\\x87|\xea\xe6\xb8\x9d\xacra\x08\x9c\x9b& o\xef\xe1\xe6\x12?\xfc\xd2\xc1\xa4\xb7\x82w'"
"How much does this cost?","b'\x8f\x1c}\xfb\x0eM\xaaK\xcc\x9fU\xcb/\xb1-A{8}\x06j\xff)\x17T9U_;\xd7\x1b\nV\xca\x92\xce!O\x88\x88U\xf3\x1d\xcb\xf4+fg'"
"Do you accept credit cards?","b""\xc6\x90\x1a\xd5\xb7\x993\xa2\x1a'cS1\xd6\xdb\x16/$\xd8\xa7\xb5\xa2\xbe\xa3\x18\xf8\xdf\x90\xdc\xbc%\xeb\xbbp\xeb\xa2\x10\x9a\xa6WD6\x8f\xd4\x8dW\xc07"""
"Can I have a receipt, please?","b'\xef}\xd7\xe4\xdab)\x9e\xb8\xe42:\x883|\xde\x8f\x18E\xc8\x87\xcero\x00\x87\xb0j\xfc#\xa5\x1b\x075\xcd\xba\xe3m\x91\xe4\xff\xdb\xdbZ\xc5\xe2\xbc8'"
"I am looking for a gift.","b'|\xf2\xec,)O\xea\xaa\xfd!\x99|\xa4\x9f3\x88\x9a\xb0\xb3\x8a:*O\xf4\xd1!JR\x12tI\x81\xf7\x0c<\xe4J\xdeEZ\xf3~|I/HD\xcf'"
"What size do you wear?","b""\x85*\x0bn\x05\xa6,@\xf8\xfd'\x8e\x16-C\xe0\xae\x0fO\xdc\xbctok\xc1\x91\xdc\x9b^\r<T\x00\x0f\x8e\xc0\x9a\xb7E#B\x86\xa6\x98\xee\x89\x99\x99"""
"Can I try this on?","b'\xa6QWx""\xff\xba\x91\xe5Hg\xc6\x86qsN\xef\xaf\xdf\xe2n\x11%\xdd\xa2\xfa\x99\x80\xbfg,\xcb\x02\x9e\x8c\xde\x94\xa4\x9b\x81\xb8\x13KF\xdfCk\xdd'"
"Is there a discount on this item?","b'\x14\xc7\xaa\x8c$\xae\xc4\xff\xabY\xbd\xa6\x94\xa0\xd8\xcc\xca\xb3\xd9\xb9\x95\xcf\xbb\xb9\xe27\x17\xba7u\x8f\xfd\x95Rz\xf2\xcf\xca\xbb\xac\xcc\xad\x15\xc2\x9c;|K\xc4\xa2\xa6\xac+\xbdM&\x85\x0c"";)\xafT\xe8'"
"Can you help me find this product?","b'S\x8eA\xf8\xaa\x9c\xf4\rq\t\x02\x8a|v\xba\xf2\xa1X\xb7C\x10\x95s\xc1\xcbQ\x18N\xb78\xaa\xaeP\xe2:km;\xc4\x0f\xa8\x0feA\x95\x16\xe2~L\xe4\x1cM_\xfbH\xaa8T\xb4\x0e\x17\xf0\\Y'"
"How much is this in total?","b'\xf9\x8b\xfds\x18\x1c\x19\x8b)\xbb&G\xc0\x1c\x06\xc6\xe2\xfet\xe2\xd1\xefQ\xfb<m_f\x1c=\xce)U|^\xef\xde\xf9v\xbc\xfb\xcdq\xfa\xf5\xda\rV'"
"Do you have any offers today?","b'\xd5\xf5\x92x\xba\xc94\xea\x9el\x90\xa1\xa6\x99PF\x0b\x0b\xff\x81\xddK\xea\t\x12h\xc1\xcb\xb7+\x17FN\xb7,\xa8!\xfe\x7f\xd7\xb8\x98\xbf#\x912\xbe@'"
"Where is the fitting room?","b'\r\xb8\xea\xe7\xd7\xaa\xfa\xec}K*\xd1XC{\x02\xf8T\x1a\x80\xdd*kH\x85v\xb4\x1b\x8d\x9b\x81&\xc3\xb0sDs!\xe6\xe8\xb3>1\xfb\xf2)%\x97'"
"I need a shopping cart.","b'BK\xb9\x97\xbbc/\xa0c\xa0\xbb\xeb\t\x8e\xed\x01\xb5\xd4\xa8\xaal\xa6\xb8\x12\xe1s\xd6\xbb<\x04v\xd6\xbb>4\\K@\xa7y~\xe0u\xadM\xe3\x03\x85'"
"Do you sell organic products?","b'P\x07V\xee\xb8\x95:\x8e\xd9X\xe6Z\xf9F0\xe7\xf1\xc8|\xe2\x1c\xfb\x9b?\x1f{\xf8\xe0\xe6\xb1\xe8\xbc\xdd\xf3\xbb\xe7\x17\x90\x81\xfa9\xa5p\x0e\x9dty\x82'"
"Can I get this delivered?","b""\xe7\xac\xb3m@@\xe3E|or\xbda\x91\xa9\xe3h\x939C\xae\x92\x8c\x82\xe2oc\x9d\xd3N\xd5\xac\x05\x1dVl\x89\xe5\x99@\x18\xd5f\xd1\xe7g'\xf1"""
"What time do you close?","b'\x80\x02\xdd\xfeB\x1c\x07\xdf\xd1\x99\x1a\x8e>\x96\xf7\\\x8e\xaf?\xc4\x87\x92\x97\xa9\x0f\xa8\x8f\xbd\x00R\x11\x7f\x07\xc0\x81\xc4O\xf2\xd5Yt\x9b\xca\x9b\x98\x88[\xc4'"
"I would like to return this item.","b'\x1bDb\xd3*\xa2\x1bQ\x0c\x9f\x1f\x883<%\xec\x0f\x84\xd1\x86\xa8V\x86\xb9\x91\x99\xee\x89\xe1n}0\x91j9\xbbH\x8b\x07\xdb\x10\xb7\xcetSpS W/\xc7\xc0r\x9e\x06\xaf\xed\x9f\xf3\xdfAs}3'"
"Is this item on sale?","b'\xae\xcf\xefi\xadn\x9c1\x91\xa5\xf6 \xc5\x02@\x84\xbc~\xfd\xcaqJ\xa4\xd2\x04\xe8#\x9b\x06\xdb[06\xfd\x94\xa2K\xb7}\xcb\xf4\xb9x9\x1a~\xf4\xd2'"
"Can I see the menu, please?","b'\x7f\xa1#\xd7gA\xabc\x1e\xc0-f\t\x9e?\xbd\xdb\x15R\xb5\xaf+\x1a\x194|\x94\x9a\xa8q~*1\x1a\xd3\x8cO\xd4\xea\x00\x9a\xb3U\x97\xb5\xaa\xba\x87'"
"I would like to order.","b'\xa9\xa31-\xec\xa4\xd2\xf5M\xb9\xd61\xe6\xfee|fSC\xeb\xdb\xff\xb3\xc8\xe0(i\x8b\xcb\x0f`\xafP\x13\xac\xe3\xd7\n7\xaf\xd0 v\x9d#5\x05\xd8'"
"I will have the chicken, please.","b'R\x08F3\x00\xb1:\x88d\x15\x149\xb2\xb7\x8az\xd8\x14\xd6\xdd\x1d\xb8\x01\xe5\xb8\xf3\xffN\x18\xa0\xf66O\xd5\x9a\xbb\x18p\xa4\tw%\x96\x1e\x95AHNd\xf9\xa5#x2\x90`)\x8dkM\xe9\xc5\xe0\x94'"
"Can I get a glass of water?","b'\xe4\x00\xcd?R\xa4t?\x14g\x8e\xc2\xf2\xa8b jf\x86yR\n\xd6\xfe\xef\xd2]\xbd\x11\xd82\xde>\x1eH\x848\xb3d\xb0\x9a\xe6J\x17M\xff\x89\xe5'"
"I would like a coffee, please.","b'\xca\x1e\xa6\xe8.\xe6\x10I\xf0\xe3\xaf|D\xa4\xd1+\xf1\xd5Y\xe9B\xc9mc\xec\xb5a\xaex\xc3Y\xd5*\x89\x87\xbf.%dq*\xec\xa4\xac\xd2?{M'"
"Can we get the check, please?","b'\x97\xebMZ\xd6\x92E|\xeds\x8c\xf0<\x1c\x9a\xa5\x96\x1b\x8bh\xd1T\xf9\x1b\x0cu@\x92aVhJ^v\tN\xf2v\xa6\x97E$bE\x937\x9f\xe3'"
"Is there a vegetarian option?","b'\x9d!=\xe1\x15L>\xda|p\xde\xd4n\xe4%\x98=\xbd\xf9r&\xc1\x7f~\xe7\xc4(\xd2\x88\xe2\xe2\xf8\xb3\xe0\xd4\xef|\x06\xca\xae\xbbk\xde\x19([x\x05'"
"Can you recommend a dessert?","b'\xb5\x10\xa1\xf3L%=\x17\xb6^\n\x80\nS\xc3%\xa1\x99\xcdf\x8e\x08aB\xb8[\xc2\xd1\xfdf\x15p\xc7D\xa7t7\xf9\xa3\xf9\xc5\xa6\xe52\xb9f\xa1\x96'"
"I have a food allergy.","b'\x8d0\xf8\xc6NP\x9f\xa1\xf5dB\x9a\xba\xc4\xddf\xe1\x0b\xb2\x8c\x0f\x02\xa5\xa1\xe6\x01\x1b\xf5I7T\xc6n\x18K&&\x17\x7fQ\x00\x08y|\x82\xcf\xfaY'"
"Can you make it less spicy?","b'\x9al\xacM\x15\xaaL\x7f/\xd5\x84\xa0<\xa5#\xe1\xa2>\x96v\xf1%\x12_\xc9\xfe\x8d\xca\x06\xe8\xab\x96k\xc4\xe5)\xa2=\x19\xbc#\xd0\x19\xfbO\xce\x9aU'"
"I would like a takeout, please.","b'xo\x96\xae3\xf7GF\xdb_\x81\xe4C\xee7>\xaf!\xd6\xa3u\xd3$\xb0\xa9^<\xe4\xb7^)\xbd\xf6lB\xdcZ\x834Pj\xba\x89\xcb\xf9\xefxx'"
"Is there a service charge?","b'\xef\x0bW\xca\x96\xbc\xbc\\n\xa5\xd7rBh\xac#\x0f{K\xd2\xeb\x01\xde.\xf8s\xbb\xa0?\x08\xb6\x16\xc5\xc7\x9c\xe7E\x85\x19B7\xe0\xa3\xa6Z4\xfd\xf1'"
"Can I pay by card?","b'\xcbr\\\x95\x11\\\x9f\x9b+}0\xd2\xbax\xae\xc7\xb0\x1f\xa6\x1cW\xd0B\xba\xc7Tm\r\xff\xf7l\x9bF\xc7\xe1\x06\x8a\x87E\x08\x1c\xfa\xba\x15\x9f\xdd\x9a\x0f'"
"Do you have any vegan options?","b'""\xdb[A9\xc9\xca\xcd\x81\x19tkJb\xd7r\x9f\xdc\xe4\xb8\x06\xfdq\xc03\xf2+\x88E\x8b\x93\x8dxr0-\xb3\xc8\xb0\x88\x05+)^Y\xf6\x8d\x91'"
"What is the soup of the day?","b'\xaa\xa7\xd8\xe2\x8aD\x13A0aH\\\x18=\xc2\x9a\x7f|6\xdeb\xe2\xef\x9b\xa6h\xb6+FE\xab\\\xc1wZ^\xed\xca\xd5e\t6\x0b8\xbe1:\x8b'"
"Can I have some extra napkins?","b'\x93\x91\xe3\x08\xf3p\xff#;\xbd\r\\\xcc\x03\x13\x12$\xc6\x80\xb9\x1f\xe2m\xaeX\x81(\xe1\xa7_W\x86.)\xbb\x0f\x0b\x00\xe7-\xc6\xee[\xa4\xe8\x84)\x81'"
"The food was delicious, thank you.","b'Q\xcak)\xb2I\r\x91\xe4\xfb\xf1d\x1b;j\xaa\xcei\xc7\xcf:p6}\x8d\xb6\xad\xaeD\xde\x1c\xc1\x00*L\x03\x96k\xa0\xc5M\x8d>RZ \x06\x1c\xca\x184\xcaw\xc9\xe8\xc7Q\xb9]SU\xdc\xa68'"
"English Sentences on Asking for Directions","b'\xd2\x19DQ\xf9*Z\x17v\x89\x9c\x82\xe0\x07\xdc6\xafiX\xe8\xc7n\xeei""\xc0\x13^\x94yh\xad\xe7\xd2\x02\xa6\xb5\x17\x85\x8e\xb1(\xbc5\xfa7)a\xfc\x08@\xd4\x00Z\x94\xf3J\xe2\xdd\x8b\xe1\x18\xe0\xfb'"
"Excuse me, where is the restroom?","b']\xda5\x15`s\x03\xd5\xf2\xf3\xd0F~\xc4\x81G\xe8b\x1ez,\x1e\xa3\xcc\xa2Yy\x1a\xd2\xdfg\xcdbX\xe6{\xc0o/\x16\xc8\x02.\t\x88G\xfcy\xee\xfd\xaa\xee\\TgZ<v\x82\x91\xf9\xd2\xbd\xde'"
"Can you show me on the map?","b'SPV\x0e\xb7\x1a\x8b\xd2\x17\xc6\xe9J\xfd*\xbc\x87\xebZ\x06""O\xdc2M\xfc4\x95\xd5-\xbc\xf2\xa3L\xfadg\xc8\x1b>%[\xda\x80\xb5\xec:\x83\xd7'"
