"Strings","ChaCha20_encrypted"
"Can you join the conference call?","b""$h\x18%;\x18=B\x00\xbb\xf8\xb7\x96'\xf4\x1ay\x8cQ\x9d\xb1\xfc\xd0\xb7\xbe1q\xce\xdf\x97\x91\x08["""
"Let’s have a team meeting.","b'\x9d\xf4\xdc?\xeeph\xf8<J\x9c\xe9`C\x89j\xe6\x8c\x8c3B\xe6\xaf\x13\x88\xfe\xcdp'"
"Can you cover for me?","b'\xde\x85\xb9X;V\x9cM\x0fb\xb7b\xdb8qw\xf8\xaa\xc90\xde'"
"I need a ticket to New York.","b'\x8d\xff|\xc3\xc0\xa8\x95$\xaa\xd0[\x8f\xe9-p\x91g>\x17\xfb\xeclM\xdf\x9a\x05,\xfc'"
"What time is the next train?","b'\xc3""re\xe8\xc32kT\xaa.\xec\xc3\x1cJ\xce!\xcbt\xf2\xb8\xffO-Ht\x87\x84'"
"How much is a one-way ticket?","b'\xd3\x93q\x00\x90\x19\xdeX\x9a\xcap\xf6\x12\xcb\xa2\x15\x95+\x98^\xf1\xb0\xacP+G?\x8c\xeb'"
"Where is the boarding gate?","b'<W5%\xe0\xd8\x9e\xfe\xa6I\xb9\xc1\x85\xd8\xc7\xdf} \xa6?$ \xb8\xeb\x86\x0c\xe9'"
"Can I have a window seat?","b'e\xb0\x7f\xb4\xdd\xdb\x9a7Y??\xbb\x17\xdf)\xfb\xebnI\x0e\x85\xd8\xbc\xa45'"
"How long is the flight?","b'\x8a\x90\x10\x0eZ\x81\xe4[.&\xbd,\xf3\x94l\xbb\x03Q\x99\x02\t\x82j'"
"What time does the bus leave?","b'%9\x0f\x1f\x99\xdd\x94\x18B\xaa\xa5\xc5\x9c\xaa}\xd8\x0f;\x1dN\x10\xba\x8e\x1eg\xd4\n\xdd^'"
"Where can I rent a car?","b'\x1b\x19\xca\x8a\xa0\x13\xcc\x1d.$\x1d\x02""\x96~n\xdf4\x0c\xcaX\xd4\x9f'"
"I need a map of the city.","b""\xe5F\x00\xa1\x06P\x8a\x83\xc6\xb5^\xf4'2\xe6\xcb\x0e\xf8O\xa2\xea\x81Q\xef|"""
"Can you book a taxi for me?","b'F\xfd\xec\xf3\x9f\x97\x98\xda\xf1\xde\xf6\x15\xb4\xe6\xb5Y\x85b\xfal\xad-\x02w\xa6\xd1\x82'"
"Where is the baggage claim area?","b'>\xc2\xe4\x12@\x1a\xb6\xd9\x94\x85\x1a\xf2\xbd\xab\\\xfb\xe1U\xa7\x84\xb9\xa1\x8f\x15d\x8d\x86\x97\r\xee}S'"
"What is the local time?","b'`_8l\x055\x08\xd8\x1d\x81\xef,\xf3\xde\xc9@\x02\xdcs\x85\x967\xb0'"
"Can you recommend a good restaurant?","b'a""d\xcb\x9akW+\x89/\x1a\x80\xa1\xaan\x9a\xc5\xb6=]?\x8a.\xc8\xe7\xa4\xe2\xbd\x9b\xe9\xab\xa1\x96lY\x98'"
"Is there free Wi-Fi here?","b'\xd2E1\x04\x84\xd4s\xcf\xc7v\xe8\xbd\n\x85""\x19\xae\x1f\xcc#;\xbc\'?,'"
"Where can I exchange money?","b'\xab\xd3\xc0\xb1\xce\xe2\xff6\xb8d\x12\xf4\x0fB%\x87d\xcf\xcc\xbc\xb1&\x98\xcb3\xbd\x84'"
"What is the check-in time?","b'\xee\x0cI3\x13\xe6\xb2\xc5\x14\x022:9_\xe3\xf3\x1e]\xc9\xb6\xeeb\x82z\xa9\xe1'"
"Do you have a city tour?","b'B\xaa\xb2()r\x9b;<I\x96\x08\xd8\xb6\xecG\xe6s\xf5\xc9\\1\xbe\x8c'"
"Can I get a late check-out?","b'\xd2\x07\x0c\xd3m\x0f\x89fc\xdb\xc1`""\xfb2i\x1c\xb5\xd5\x04\x0e\xb1\xde\n\x06\xc3\xe5'"
"Is there a hospital nearby?","b""\x87\xc9(\x0c`9'\x8b\x19\xb5\xd7\xd3SrT\xab\x90\x958\xcd\x98\xdd\xd33QZ\xa7"""
"Can you help me find my way?","b'\xf3\xbf-\xf4\xd5\xdd\xffH16\x1c\xad\x9az\x13\x10\x1f\\L\xe1\x08\x07Z\tq)\x11_'"
"My phone is not working.","b""VSk\xd3\x19\xf5\xd6\r\xbf\xb8\x85\x94Z\xddA;'\xffC\x8c\x8f*\x11\xda"""
"Is this the emergency room?","b'\xa6\xfd\xdd\xea\x8bg\n\xba\xef\x9c\x01\x0ci\xfb\xb3\x8f\xfd\xbd\x00B\x93?\xf0[\xc8\xbe\x05'"
"Where is the nearest pharmacy?","b'`\x00cy{4?\n9\xbcvK\xaf\x98a\xed\xefG~<\x99\xdf\xd9\x83\xbe\xdcI\xe5\x1d\xe5'"
"There has been an accident.","b'\x05\x12}\x15KQ\xd0\x84$iE&\x0b\t\xe5\xd4\x8fv\xb9\xd3TC\xc7\x9etw-'"
"Can you call an ambulance?","b'\xaa\x92WRH\xe7\xa0U\r%\x1e~\x82\x83\xa8=\x9b\x9e\x94\xb3\xc4[\xed\xa2\x0e\x16'"
"I need to see a dentist.","b'Gn.\toBO\xc9\xb5\x15X$W\xf8\n\xfcRV8\xcd\xac\xe7on'"
"Is there a fire extinguisher?","b'\x0ef\xa2\xbe\xe8e\x9c(\xd4\xb4\xb9\x14\x96\xc2\xdf7\xe9\x8895\x0eE\xc4\x8a4\xc9\x9c\xe6U'"
"I need to contact my family.","b'\xff\x9e\x8f5\xd8\xfb\xa7!\x8c\xc7\xce\xf4\xd5-\xaeu\xc9\xbe\x06\xd6\xd0AU\xad2MlR'"
"Can you help me with first aid?","b'k\x01 E\xa4v\xdcM\xb4/\xa6Y\xdfX\x05""\xc5\x05\xd7\xbf\xbe\x04\x868c\xd8\x85\x9f3\x07-'"
"I need to report a crime.","b'\x13\x95\x1c\xae}\xac\xb8Q\xd7D\xcd\x1eX\xb0\xf8k+\xe4%\xfe\xcd\xc5\x8c\xa6\xd7'"
"Making Plans – English Sentences","b'\xb2K\xca\xeb\x86\xc5V\x94\xe3\xec\xa5\x95\x923\x04\xd1)\xed\x84\xd6Zj\xb5z\xf1\x00\x9a\x80\x191p\xd2\x9f\xb5'"
"Let’s go to the movies.","b'Q\xd0\xa1P\xfd,\xc3=\x9a\xa0\x80\x7f$VQ\xad\xc4\x12\x9d W\x97\xb0\x96\xc1'"
"Do you want to hang out?","b'\xbf\x1a\xd1\x8al\xe3\xbd\x86t\xb3\xb9\xbd\x92I\x00\xe2R\xd1\x94`Q\xe1\x0c\xb9'"
"Let’s meet at the park.","b'\xf6\xee\xa8a\x80\xaa[5\r\x00F\xe4W\x01\xed\x8e\xeb\xab\x8dW\x8c\xf8\x1c!K'"
"Can you come over tomorrow?","b'\x88/\xd0\xe1\x93\x9c\xb1\xe4\x01\xd4\xe9\xfcI=\x1e\x88y\x08|W>\xbb;\xebTM\xf4'"
"Let’s go for a walk.","b'\xbc=\x07P\xa8\xdf\xa6\xb7\x8c\xae\xd3\x08Y\xc2\x00\x95\xe4V\x85\xb9&\xc7'"
"Are you free this evening?","b'\xf8(?\xc7\x8d5\xf2$A|\x9a\x88\n\x89x7+\x81U#\xeeY\x81C|\x97'"
"Let’s go to the beach.","b'X>F\xed\xa5\xc2\xb5\xd0\xe1\xf6\x8f\x0b\x83\xfd\xed\xa0{|(\x84\xa8\xf9\xebM'"
"Do you want to play a game?","b'\xab\xf8\x0bp\x13\t\x0f9!/\x97\x05\xf8_\xe3\xb4e\x8f\xbef\xf4\x8ar\x8bMs\xb6'"
"Let’s go to the museum.","b'd\x97\xc0\xd5O\xa9P0\x96\r\x106\xa9g\xd2\xf1\xb4f\xe2\xf2\x108\xf7\xf1\xf6'"
"Can we visit the zoo?","b'^|yY\xe1\x86U\x1d\x99=\x05\xf2i\x85\x10>bS\x1c\x9av'"
"Do you want to go hiking?","b'\x08\x15%g\xde\x9es\xce\x9a@J\x032\xb7\x8e=\xa5lk\xa1u\xbc\xe1\x88R'"
"Can we watch a movie?","b'Q\x913\xe8\xec6K\x8f\xd6k?^|\xd7\xed\xed\xae\x16nM\xc0'"
"Let’s go out for coffee.","b'\x11\xcd\x9d\xae\x06?\x04\x9d\xb0~\x87\xbb\xf8\xa9\x03\x88\x83\n \xd9\x89\x8cuWg3'"
"Do you want to join us?","b'\xff\x8c\xf7\xb9\xbe\xd6]\xaf\x9e\xf9\xb8\xfcf)\xa2\xd3\xbe\xfb\xad/\xcd\xf1\xa1'"
"What is your favorite color?","b'\x9d\xed\xa6-\x9d%\xc5pH\x8f\xad\xba\xf2|\x05\x1c\xf2\xaf\n\xbf\x1e\x9f\xa9yQ\xaa\xf7\xb1'"
"How do you spell that?","b""\xa0\xf1\xcf\xe5\xa4Z\xedh\xd7\xe3\x1a\xabM\xd9'\xca)\x8a\x1f\xa1\xb7\xfd"""
"It’s next to the bank.","b'\xc3\xa1\xbab\xb9{\t\xd7C\xbbF\xf7ll.`\xfb\xc9\x10+\\\xf5\x8a\x88'"
"Go to the end of the road.","b'\xe4w\x19\x1b\xf8\xb3G3\xe1X\xbb\x837{4\x91Q>\xdd\xf9:\xa8\x1d\xd3\xf6)'"
"It’s near the bus stop.","b'\x96\xda\x97\xa5z\xad\x89\xcc\x8fd5\x9298\xef\xb6cY8\x80\xcd\x9a\x927\xa0'"
"It’s in front of the store.","b'\x12}/2\xdc/\xe3g\xc4\xef\x15{\x8byX2u\xd2\x84\x89\xf1\xe9\xdc\xd9Q\xfa\xaa\xce\xfc'"
"I think this is great.","b'\x9aP\x18\x95\xa3\xea=\x93M\xd9\x08\x8fJ\x03*i\xf7\xb3O\xf4h\x8d'"
"I believe you are right.","b'\xa4PL\x85\xd9\xe2\xd8k\xcb$k\x0c\xdei\x8d\xb0\xc0\xa4\xab\x18\x8fB2\xfe'"
"In my opinion, it’s okay.","b'\xb9\xedfVV\xc5\xde\x15e\x94\xf1\xef7\x00O\xc7\xcc\xee\xe1\x08u\x1ad\r\t\xdf\xa4'"
"I feel this is important.","b'\x95\x16\xfdq\xc2\xb8~x\xb8.\xd8=\xd0}\xa4Zn^\x13\xfe\x97\xae\x9c\x96\x9c'"
"I think we should try.","b'\x1b\xda\xf6\xc7\xf8\xa8\xb6\x94\xe1 )\xe5\xde\xdf\xe5gg+\x99~\xa6\x00'"
"I am not sure about this.","b'\xd0\xf6X\x83\x07\x99\xbf?j\x80\xbc\x8a\x103\x96H\xf4`\xc3\x8f+\xa1lT\xd7'"
"I think this is a bad idea.","b'i\xd9\x96W\x80\x986N*\xe6\xf1\xac1f\xca\x87\r\x06\xff6Bf\xfc\xec\xfe\xa8\x88'"
"I feel good about this.","b'\xa2\xe6\x98/\xc9\x17=\xa4\x15\x90X>:\xae\xc02\xa2y\x18\x94L\xe5)'"
"I think we can do better.","b'\x95\x9d\x06n {\x12\xcaE\x91\x91\x1f&\xa2\xeex\x1a.\xd2\x86C\x05f\x93c'"
"I am not a fan of this.","b'^\xe23\xba\\\xed<\xd4\x13+\x87B\xe5\xe8R\xa6\xa2c\x17=\xf9\xbfP'"
"Could you please pass the salt?","b'\x9c\x1eU`\xf5\x06\xd2H\xc8v\x86\xc0D&\xbcJ\xbb#\x06\xd4\x1d\x1b\xad6\x05>\xdaB!\xb4\x8d'"
"May I borrow your pen?","b""I\r\x14\n6\xa5\xd5'1W\xa40v\xfadF\x99\x13\xa5\x16\x88f"""
"Can I have a glass of water?","b'\xc6h7\xa1\xf7T-\x98\xd6\x02%\xf5Nf\xbc(\xbc\x9a\x1b>E%e\xd4\x94\xb0(\xa6'"
"Can you turn on the light?","b'\xd3\xd0\x1f\x1e.\x9cM\xc76V\xb7Q\xcd\xd6B\xcc\x0bX\xb2\xe9P\xf7\x8f\xca\xc3\xfd'"
"Could you close the door?","b'\xb0\x1d\xe4\x97q]\x01\xdf\xf9{\xbb\x05\xb4\xfa\xf2tQc\xc2\xb2\xc9\xb3\x8e\xfb&'"
"Please lend me your book.","b'\xde+_c\x8e1\xc9\xd2\xb3\xc5n<N\xdfj\x07\x1c\xfd=\xea8B/}>'"
"Can you show me the way?","b'\x0bz\xbc\n\x80$Xc\xc6\xd1\xc7\xc4&\xa02-+iyf\x0c=(L'"
"May I ask a question?","b'c\xae,\xf7S\x1a{6\xca\xfa\xff\xd2\x08\x02H\xd8\xffFL\x16J'"
"Could you speak more slowly?","b'\x04\x12nV\x8d\x06B\xed*!\tPC\xe2z\x83\xb5\xfd\x90U\x19/u\xb4~\xb3e\x8e'"
"May I use your phone?","b'\x88\x19\xea\x03\xdb\xdb\xf9\x87\xcf:\x81\x00V7A\xd5\xed\xdf\xbf\x0f\x06'"
"Could you help me with this?","b'\xf6o\x94\xca\x91\xfav\xf1\xb9\xe17&\xb6\x15\xf3,\xac\xc2W\xb3\x82\x96\x97\xd9u\x97\xc7\x13'"
"Please tell me the time.","b'\x98\x05AlI\x13\xdf\xd5\xb2\xe3B.\xc8\xd3jR\xe9\x0c;\x85\xbd\xccx\xae'"
"Can you give me a ride?","b'\xa1p\xeeZK\xb0\xa7\xa9\xb2E\xf7p4\xfa\xa7C\x15\x0cv\xe6\xe1\xd8\xb0'"
"Could you explain this to me?","b'\x0e\x1a\x86C\xa2\xc3\xddOy\xc9f0\xc7\xa6\x01\xbez\x8b&@\xff\x08\x7f\xcf!\xeb\xeb\xec\xeb'"
"Please turn off the TV.","b'{\xaer\x82\xb4?l\xf2\xeaP\xd4\xca5`\x7f\xdd\xe9>\xd5^\x92\xe0\xb6'"
"I am sorry for the inconvenience.","b'KPa\xd3\xf3_\xca\x18\x0f\xba6\xc8\xef\x11\xf1\x15\x9df\x1f\xfd2\xbasp\x87\xf9\xafnP\xbd\xeb}6'"
"I am sorry I am late.","b'\xa5a\xc4G\xaa\x8a\xbc\x95{\xdb\xc8\x16U<r\xaf\x1b^f\xa9N'"
"I am sorry for the mistake.","b';\x99\xa7\xcdF\xe9\xc7S\x0e\x91\x97\x86\xa8\xa4\x02\xa8\x0b\xea66_K\xd6\x06\xfa\xb4q'"
"I didn’t mean to hurt you.","b'm\xa4""\x19\xc3l\x048\xb9\x17X\xbc\xea|\x89ke\xebM#\x9cCF\x94\xb6I\xad\xf2'"
"I am sorry for the confusion.","b'\x9e\x15\x94\x00\x8b(\xb6\xc7\xca\x91\xefT\xca\x95cL\xeb\xfa\x11Ty\x9a\x17\xb9\x8c#.\x91\xbb'"
"I apologize for any trouble.","b'Wn2\xcc\x10\xf0\x08\xacf\x86{\x0c\xe6o3%\x93\x15,#\xbcu\xea\x1e\xf2LC\xe2'"
"I am sorry for the misunderstanding.","b'N\x1b\xde\xf1[\xb5C\xf6\xfb\xbdk\x92?Dk\xa6M\xffG\x10o\r\\\xf2\xefE\x82Ph\x8dQ\x7f\x89\x00\xd3\xb6'"
"I am sorry for being rude.","b'\x9c\x16e\xfe\x10\x89\xdal\x80\xcd&\xcf\xf7\xb9\xae\x01$\xaf\x97\x90\xc3\xdf\x94\xe8\x9c\xef'"
"I am sorry for the delay.","b'\xa2%\xb1\x8f\xe7\xd3\x98F%^\x89)|\x81gNQ\\\t\xda\xc9lp\x87~'"
"I didn’t mean to offend you.","b'\xfc1]\xcb\xbcP\x84\x01\xa9\xa6\xfd\xf2\xec\xb8s\xc9!\xbf\xf4(j\x04\xaa\x94d\x8efa\x0f\xf8'"
"You ought to see a doctor.","b'\x7fKG\x11X\xcbV\xf3c\x0b%\x96\xdaf\xa5n\xfa\xcdv\x98vT\x9bc\xeb\x0b'"
"It’s a good idea to save money.","b'\xb3\xe9\xed\xf8\xcf}\xfb\xba.@\xdb2w\xd9x\xa2W\xa7/\xdaF\xd7SL\xb6y\x921\xe4\xde\x15E\xcc'"
"You should take a break.","b'\xda\x8c\xac\xbc\x08\xbd\x02,\xe8\xec\x96\xbfz\xbb\x00\t\xb3\x86Y\x9a\xd0\xd2\xd1\xc1'"
"I think you should go.","b'&\xaa~\xc5\xf2\xecw5\xf7!\xad\xf0x\x1aS\xba\xce\x80T\x1fk\xd8'"
"It’s better to be safe.","b'\xde\xa8\xfc\xedF\xc2\x86\x9f\x9c\xc0\xd6r\xa7\xfd\x8e\xf6\x9fS\x9f\xde\xc7\xef\x98\x04\xfb'"
"You ought to eat healthier.","b'\xc2\xdf\xe0\x1d\x9d\x83\xf3\x83\x9b\x0c\xdezAH?\x12\x98&\xbd\xc6\xc5\xaa\x05\xbe\x04\x1ah'"
"I advise you to study hard.","b'\xa1\xcaF0\\\xb4\x87\xa5q\x97\x90\xf3\xe0\x9f\xe1\x98\x1d\x7f\x03gX\xea?\x1a]J='"
"You should get some rest.","b'\n\x95\xde5(\xac^\xda\xa3\x17\x7f\x9f\xa7\\\x05rLO\xa3""L\xc4t\x99;'"
"You need to work on that.","b""'\xd5\xbe_\x86)\xf3I\xdcR;\x13\xfd\xcf)\x1dp\xd6\xb3\xd5v<1\xbf\xef"""
"It’s good to be prepared.","b'\x16\xaf\x0f""\x10\xa1\x1a5\x1c\xb5\xefO\x1a\x90\xd3S\x83\xa6\xebL\xbc\x00>\xe7\x84p\xa4'"
"Try to be on time.","b'a][\xb7<\x1cd.\x1e\x06QX\x84L\xb0L\xd4\xcb'"
"You ought to listen to her.","b'X""\xd9\xda.S\x96\xba8\x07\xd9\xcc\x00#\xd3\xb9\xe9\x88\xc0\xc0=x\xf4\x81\xa1t\x17'"
"It’s best to be honest.","b""t\xd1\x02\xfc\xbfzC\xe7\x86\x96\x01\xcaw\xb3K\xd2\xbfbq\xdb\xf1\x1d'i\x89"""
"Expressing Gratitude – English Sentences","b'\x14)\xa7\x83\xdf\xcb\x04\x15x\xc6\xeb\x1a\x0b\xeb0X\\\xebp\x10\\\xc6}\xb6y6[N<\x9b\xd3\xbfi\x0f\x9f<:*b\x03\xfd\xa4'"
"I am grateful for your help.","b'\xfdPsQ\x1ae(\x92\xfb\xca\xa7+\xec\xa0\xf8\xb3\xd8a\x86\xa2O\xf3\x9d\x91[\x0b\x00\x02'"
"I can’t thank you enough.","b'.\x87J\x92\x06x\xa3I1\xf7\xaaB\xbf@\x02\x95\x1b\xe98\x90\xc9yy2\xd1\xa8N'"
"I am thankful for your support.","b'\x8f\xe0\x00\x11H&\r\xaa\x9cO\xb7\xc2\xde3\x17\x07\x81\xfa\xec\x1cal\xcb\xe3$6\xbe\xf7A\xcbk'"
"Thank you for your time.","b'\xf9\x11\xd6\r\xe0\x04\x9aH84\xa6p\xe5z\xe4\x068$3b\x02\x83\xd8\xa6'"
"Thank you for being there.","b'I\x10\xda\x00\xbfz\x8d\xd6\x8a\x9d?\xc3\x1e\x1a\xf5I\x1b\xf6A""\x16\x1b\x91\xc0v\x10'"
"Thank you for your generosity.","b'z\x03\xb0\xa2\x84\x84\xd6\xed\xafnt\xfd\x9b\x0eAXu<\x1c\xd2t\xe3\xabQ\xb4\xdcw\xfc\xda%'"
"I am thankful for your assistance.","b'3\xabB\xdc\x02\xeeF}\xfe+}u6\x85\xf1{\xc1W\x82t\xc8\xac-\xf4\x12\x08Q\xe6f<\xaf\xc8V\xed'"
"Thank you for the information.","b'\xd8u\xb7-4?\xa6Q;\xd9""\xb8""Sdl_\xd4YF\xa4\t(0\x1e\xb0ofm?'"
"You did a good job.","b'\xfe\\e?^Bj|\xd0Ong\xb0\xf4o\xe8S\xd8;'"
"You have a beautiful smile.","b'\x16[Q\xe1\x13\xb3\x94\xc4\xef\xa2\\\xb4tFgef\xa9s\xc6\xd1~\xbf\x12\xe8\xd4B'"
"You are a great friend.","b'|6r\xd6\xa2\\G\x1df\xbe\x01\xd4\xc3\nP Ex\x8f\x15\x90@\xe6'"
"You have a nice voice.","b'_\x81\x1e\xf9\x85\xe3\xc7\x98\x19\xbe\x8chbc\x06\xb5\xb2E\xa4\xde\x9fg'"
"Making Small Talk – English Sentences","b'-\x8d\x8e\x08_x\x8a\xb9\xbe\xb4)\x84\xd8s93\x9c\xfd\x02@8\xf8\x17\x03Xf@\x88\x8cr\x1e#\x12`Tg\x06\x9e)'"
"How is the weather today?","b'g\xbc\x0f\x91a\xf4`\xfbX\xb5\xccdH\x16\x0b\xed\xa7(\xf7<\x9f\x99\xfd\x11M'"
"Did you watch the game last night?","b'16$\xab\xecCB\xfcEm-\x8b\xfc\ns\x1e\x11[\x92\xb6\xd9\x07\x9e\xc8\xde\xfeg\xe9\x868\xe6A\xe2\xec'"
"What did you do over the weekend?","b'\xb0\x81z\xa7\xe1\x7f\x92\xfe\xfb\xa2\xfd<\x81\x12\xf6\xad\xfd\x0c|\xeaw\x00\x9b\xe5\xe5hk\xe3\xa2>\x8c\xdc\x06'"
"Have you seen any good movies lately?","b'\xf7M9\x87\xa6\xe5\xf6""\xc7\xfe\x96\x8f\xe2\x14A\x96\x02\xf5\x14N\xb8\x86hp(\xfe\x84#\xaa\x9a\xcc\x8c\xad\xeb@%\x85'"
"Do you have any hobbies?","b'\x9dH6Sh,\x15\xeeG\xf2z\xdbQ86\x89\x98\xd7\x0f\x9b\x96n\xe0\x83'"
"What kind of music do you like?","b'{\xee\xb3p\xc4\x0f2 \x1a\xa6\xde\x7f~\x08\xf0\xf1g\xa7@ji\x03~\xbb\x1e\x89\xbb\x0et\xa0\xce'"
"What are your plans for the weekend?","b'}\xe9\xa4\x0e\xb5n\xab\x11\xaa\xc3<\xa9\x0f\x1f`\xaa\xd17\x10\xcb)\xdd\xea\x86\x12\x8eS\xa9\xc0x-\xf0,\xeb*@'"
"Do you like reading books?","b'\xc4\x12\xef\xf6\xad\xda\xe8C[(\xa1T/\xe6\xb5=bD\xf9\xfe\xe5m\xf7}\xdc\x93'"
"Have you tried the new restaurant?","b'\xeb\x17l*Z\x82\x97\x88W\xc7\x0c\xb60\x1e\xa3B\x91\x9ed\x8a\xaf*\x8f\xf9\xe8\xb0P\xea\x86\x13\xf2^\x06\xc2'"
"How do you spend your free time?","b'\xd4ng\x86\t\xd1\xd6\x11$(\x99{]\x86\xc7=\x8a\xe2\xa2\n\xc2K\xa7\xc1\xae\x1f\xb8K\x15\xfd\x91\xdf'"
"What is the best way to get to the airport?","b'\x14\t\x8ex\x1e\xcc\x8e\x94\x94\xc2\xac\xe1\xf4\xb1\x83\xbb\xf9\xea\x04aPOqy\xbaP\xdc\xa2\xcfz\xa6H\xde\x94\xaf\xa9\nm{|v0\xcd'"
"Want to come visit the first site already under way?","b'\x82\xa0\x88\x91\x9c+\xb1v\xe8\x93\xfd\xb1\xe1\x06\xc8m\xd7\x1f\x01\xf2?\t5\tn0\xe4[*\xbf\xe4U8\xba(\xc6\xf4\xa4\xca#&\x15\x8e\x13_\xf8\xaf|\x82\x00\xfdm'"
"Musk is spearheading Trump's government efficiency efforts and will closely advise Trump on spending.","b'\xa1,G\x0f:\xc5\xff#\xf6\x02\x17D\xd3\x056\x9b\xef\xda\xf4\x1b-\xd0G5Z\x8c\x8f\xf9\x90\x18\x0e\xe3\x1d:\x96q\xfac\xc9\xd7\xb3\xc3\xbes\x18\x07\x977 \xdaRX""+\xabO\xd9!\xae\x00aO36@\xad\x99q\x9c\xd0\x05\x8eN\xb6f(\xf7X\xbc\xb7\xf9\x8d\x8a\xa9\x90\n\x80>\xfa0\xd2\xbe\xa8s\x19\'\x85\x0f;1P'"
"What is AI, how does it work and what can it be used for?","b'\x1fCOl\x1d\xb6\xfaZ\x7f\x9a?\r~\xf3\x8f\r_\x12\xa9\xc0\xf7@\xea`\xf1\x04\xf2\xcag\x15\xf0\x14\x9b\x87\xda]\x7f\x98P\xa5\x88\xfd{\xa6\xe1\xd5\x14`K\\\xbe\xccNP\xe7\xce\x12'"
"Mushrooming demand OpenAI has long called for more investment into data centres for AI.","b'\x00\xee\xc0 \xe2\xdb\xd5m\xf0\xc2AE!V\x06+\xca(""Y\xa1n\xbe\x1d\xc2D \xce""A\x0c\xe5\xc4\xbd)\x7f\xaf\x0582\x06,F\x107\xbd\xe2-B\xe4<\xd0~@[\x99z\x8fo\xbf\xfc\x15\x896I\xf8\x937\x0f`\xb5\xe5`\x801\xfd\x83\xc2\xb3\r\x9b\xe7U\xda\x0f\xfb\xae'"
"HELIOS was also designed to disrupt the intelligence and reconnaissance sensors on enemy vessels.","b'\x055y\xefw\xe2\xb8h\xda!\xc4\xc4I\xd0\x9c/\xd7\x85zzW\xf6\x1dk\x10If5\x0f\xd5R\xbf<\xddP\x8fH\x804z\x90\xaf\xae\xc4\x00\xf8[\x99\xac\xed\x85\x1a@\xcaBf\xedB\x05~sK\xbb\x04l\xce\xd5\xbc\xd75@1\x87bQ\xb9!\xda\x8f\xd1\xa9\xef\tK\xf7,\xff\xce\xf4\xc3n\xa7\x06s\x06\xea\x15'"
"The US Navy conducted the first tests of its drone-kill laser weapon","b""\xea`v\xf9\x97{\x1eZ^\x82T\xaf\xab<a\x06\xfe\xbb\xb5\x0c\xc7\x7f\xe5:\x84Zf;\xdd\xb1\x86HR\xf1\x1f\xc3\x0e\xd0\xec\x14\x98H\xf3K\x7f7\xcf'\xe9\xbc\x05\xb9g\xddT\xfd\xde\xebA\xce\x81\xec\x15(\xc5gVE"""
"Free IELTS Master Class - MSc In Supply Chain Management - Check Eligibility For Free","b'\x12k(\x02\xea\xfd\x04FR\xf1vw\t\x89\x809\x98\x02\xc41\x9e\x11R\x15j\xbc8\xd5\x90W\x95\xc1\xe7\x98F(\xa4D\'\xe4\x9e\xb5\xfb\xcd\'E\rI\x98\x93\xde\x14k\xe0\x01G8\xea\xb8O""\xd5\xb9\xa2\xbc\x941\xb1v\xbc:\xbaSV\x1crvJUSQ\x0cK\t.'"
"The US Center for Countermeasures (CCM) released details on the testing, SWNS reported.","b'O\xeeX\t\x9d\xc6\xa2\x13@\xdf\xc3\xd4\xbej\x9bPD\x10uK\x9e\x85f@\x98\x0b\xb0\xd3\x1f;\x02n\x86\xc3\xae\x8a\xfbj\x96\x06\xcf\x00@\x1c,\xaaD\x01fb\x18.K\xaf\xf8\xbcz^\xa2\xe9rf\xfb^\xe1\x85\\1\xd9\x8c\xe9ze\x9e\xf6\xc8\x9f,\xc0\xcb\xd6&G\x94\xfdm\xa3'"
"'Image a thousand of these things coming over the horizon right at you,' Andreessen said.","b'\xfa2e\xaaf\xef\xc3q\xc5-\xac,\x03\xbd\xd4\xed\x0f\xc3\x12\xe5\xe0\xa5Pf\x02Z\n\xd9T\'3\x06""\xdb6\xc9\x9b\xfbC\x91t\xe5\xbc\xd5j0\xf2\x8a\xf3\xe3>r\x8f\x85\x1ff\r\x08\xe7\xbcOa\xd3\x9aQ\xc8v8M\x05\xa9\x9eV\xb0\x0b;\xe9\xf1\xd3^i\'\x8d\x86\x80\xd3\x84sH'"
"'Part of it is simply the speed of processing,' Andreessen explained.","b'\xd6\xb6\xce\x17\xe6\x84\x90;\x9c`Ou\x92+\x1f\xbf\xb4l\x01\xaaB\xd8AJ\x9f4\xfb\x82\x97\x94|\x12\x16V\x1c\xd1\xe6\xe6/\xfc\xe2\xfdY\xdf\no\xb5\x17\x8b\xcfp\nj\xf4K,\x13T0\x173\t\x89v\x83\x84$W\xb8'"
"—There are certain matters, such as a bird’s song, its time of migration, etc.","b'\x88`\x07\xe8\xb8u\xa1e\xa9\xa0~\xa1\xbdH\xad\xf1\x1b\xec\xe4\x88\x00G\x0bh\r\x06X\xfb\xca\x9b=\xb5\x03D\x16{?\xc4\x12\xd3qr:.|(\xc80\x99nl\x8a\xd1\xdc\x15h\xbe\xfa0\xa8S[m\xb0\x81\xef\xe2\xd1j\x1eV\xa9J\x86\x81/3\xb06\x8d\x08\x83'"
